File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Users\Chris\Documents\GitHub\Sign_code_2018\main code\main\Due\libs\sdfatlib\SdFat\bufstream.h,147,86,61,11,4,1,57,291,19,137
C:\Users\Chris\Documents\GitHub\Sign_code_2018\main code\main\Due\libs\sdfatlib\SdFat\ios.h,395,181,141,26,7,1,207,1037,19,137
C:\Users\Chris\Documents\GitHub\Sign_code_2018\main code\main\Due\libs\sdfatlib\SdFat\iostream.h,154,58,42,9,1,2,95,381,19,137
C:\Users\Chris\Documents\GitHub\Sign_code_2018\main code\main\Due\libs\sdfatlib\SdFat\istream.h,307,139,105,27,4,5,164,867,19,137
C:\Users\Chris\Documents\GitHub\Sign_code_2018\main code\main\Due\libs\sdfatlib\SdFat\MinimumSerial.h,37,13,7,0,1,2,23,153,19,137
C:\Users\Chris\Documents\GitHub\Sign_code_2018\main code\main\Due\libs\sdfatlib\SdFat\ostream.h,288,128,96,27,4,5,156,697,19,137
C:\Users\Chris\Documents\GitHub\Sign_code_2018\main code\main\Due\libs\sdfatlib\SdFat\Sd2Card.h,234,107,85,3,2,5,125,795,19,137
C:\Users\Chris\Documents\GitHub\Sign_code_2018\main code\main\Due\libs\sdfatlib\SdFat\SdBaseFile.h,565,269,190,18,21,45,275,1804,19,137
C:\Users\Chris\Documents\GitHub\Sign_code_2018\main code\main\Due\libs\sdfatlib\SdFat\SdFat.h,118,62,41,1,2,4,54,291,19,137
C:\Users\Chris\Documents\GitHub\Sign_code_2018\main code\main\Due\libs\sdfatlib\SdFat\SdFatConfig.h,184,40,4,0,1,3,143,815,23,145
C:\Users\Chris\Documents\GitHub\Sign_code_2018\main code\main\Due\libs\sdfatlib\SdFat\SdFatStructs.h,605,148,141,4,1,1,456,2970,19,137
C:\Users\Chris\Documents\GitHub\Sign_code_2018\main code\main\Due\libs\sdfatlib\SdFat\SdFatUtil.h,41,14,7,0,2,2,25,170,19,136
C:\Users\Chris\Documents\GitHub\Sign_code_2018\main code\main\Due\libs\sdfatlib\SdFat\SdFile.h,50,19,12,0,1,2,30,170,23,145
C:\Users\Chris\Documents\GitHub\Sign_code_2018\main code\main\Due\libs\sdfatlib\SdFat\SdInfo.h,278,130,126,0,1,1,147,794,19,137
C:\Users\Chris\Documents\GitHub\Sign_code_2018\main code\main\Due\libs\sdfatlib\SdFat\SdStream.h,264,105,75,3,4,4,155,693,19,137
C:\Users\Chris\Documents\GitHub\Sign_code_2018\main code\main\Due\libs\sdfatlib\SdFat\SdVolume.h,235,131,101,10,5,37,99,828,19,137
C:\Users\Chris\Documents\GitHub\Sign_code_2018\main code\main\Due\libs\sdfatlib\SdFat\utility\DigitalPin.h,518,364,299,18,0,232,154,1192,27,165
C:\Users\Chris\Documents\GitHub\Sign_code_2018\main code\main\Due\libs\sdfatlib\SdFat\utility\SoftSPI.h,159,99,67,10,1,1,59,266,27,159
C:\Users\Chris\Documents\GitHub\Sign_code_2018\main code\main\Due\libs\soft_uart-master\soft_uart.cpp,63,20,13,0,10,0,33,219,33,219
C:\Users\Chris\Documents\GitHub\Sign_code_2018\main code\main\Due\libs\soft_uart-master\fifo.h,136,63,41,11,35,3,38,264,32,213
C:\Users\Chris\Documents\GitHub\Sign_code_2018\main code\main\Due\libs\soft_uart-master\soft_uart.h,1186,894,398,76,222,10,70,436,33,217
